GE	layer
5.54	End
5.65	End
7.19	End
5.84	End
6.64	End
8.55	End
6.83	End
8.12	End
5.95	End
9.82	End
6.56	End
4.33	End
6.34	End
7.99	End
5.03	End
7.04	End
4.25	End
7.25	End
5.22	End
9.06	End
4.03	End
4.85	End
8.77	End
5.1	End
3.98	End
7.42	End
5.76	End
4.11	End
5.28	End
5.18	End
4.32	End
5.53	End
7.85	End
7.4	End
4.54	End
8.88	End
4.57	End
8.19	End
7.59	End
6.49	End
8.61	End
6.71	End
7.74	End
3.35	End
2.28	End
4.32	End
8.45	End
4.62	End
6.86	End
4.83	End
10.3	End
7.75	End
5.42	End
7.7	End
9	End
6.13	End
7.66	End
8.08	End
4.56	End
6.59	End
5.56	End
5.26	End
5.17	End
8.94	End
5.88	End
3.96	End
6.12	End
5.75	End
4.79	End
6.76	End
4.88	End
5.89	End
9.17	End
6.24	End
3.55	End
5.67	End
4.64	End
6.01	End
2.5	End
6.17	End
5.51	End
6.55	End
5.59	End
6.37	End
4.19	End
5.98	End
5.72	End
5.91	End
4.2	End
6.15	End
2.13	End
4.84	End
6.75	End
6.37	End
5.2	End
5.15	End
7.95	End
8.49	End
9.46	End
7.43	End
4.43	End
7.82	End
4.84	End
5.98	End
2.57	End
8.96	End
4.03	End
9.28	End
6.01	End
4.66	End
8.47	End
3.49	End
2.51	End
2.53	End
6.26	End
7.36	End
4.27	End
7.87	End
4.56	End
7.69	End
6.91	End
4.65	End
6.01	End
5.32	End
9.3	End
7.76	End
3.81	End
4.44	End
6.35	End
8.97	End
6.01	End
4.97	End
5.02	End
3.09	End
4.18	End
9.57	End
10.74	End
1.81	End
5.55	End
5.87	End
7.19	End
4.35	End
6.12	End
9.85	End
5.17	End
4.16	End
7.58	End
4.79	End
7.59	End
5.75	End
7.6	End
4.01	End
5.14	End
4.56	End
8.13	End
5.65	End
9.29	End
7.42	End
5.52	End
7.97	End
8.93	End
5.64	End
5.89	End
5.18	End
4.16	End
9.99	End
7.49	End
7.73	End
4.54	End
7.02	End
6.12	End
6.74	End
8.92	End
5.68	End
6.06	End
6.14	End
8.99	End
9.73	End
9.68	End
6.45	End
7.57	End
5.62	End
9.31	End
5.78	End
4.36	End
5.55	End
5.52	End
8.88	End
4.66	End
7.87	End
4.82	End
6.03	End
10.76	End
7.55	End
5.87	End
6.45	End
9.88	End
9.78	End
9.1	End
4.85	End
3.72	End
4.47	End
3.69	End
4.78	End
2.8	End
5.43	End
8.35	End
4.31	End
2.56	End
6.8	End
6.42	End
10.14	End
3.13	End
5.5	End
4.57	End
8.43	End
8.4	End
5.43	End
4.32	End
7.01	End
7.63	End
7.73	End
7.05	End
7.78	End
5.17	End
5.89	Mes
9.55	Mes
8.22	Mes
8	Mes
9.31	Mes
5.41	Mes
5.34	Mes
6.5	Mes
7.88	Mes
7.43	Mes
8.37	Mes
8.37	Mes
9.89	Mes
7.13	Mes
3.87	Mes
1.87	Mes
4.51	Mes
3.74	Mes
4.04	Mes
6.63	Mes
10.33	Mes
6.35	Mes
6.6	Mes
5.04	Mes
6.24	Mes
5.8	Mes
4.88	Mes
10.11	Mes
5.58	Mes
1.45	Mes
5.74	Mes
2.53	Mes
5.74	Mes
6.84	Mes
4.48	Mes
4.58	Mes
7.3	Mes
3.34	Mes
5.82	Mes
5.18	Mes
4.08	Mes
8.81	Mes
4.91	Mes
4.49	Mes
5.19	Mes
7.58	Mes
5.19	Mes
4.75	Mes
4.13	Mes
4.53	Mes
7.33	Mes
7.4	Mes
8.13	Mes
5.89	Mes
9.38	Mes
5.16	Mes
5.76	Mes
7.99	Mes
2.65	Mes
2.78	Mes
6.02	Mes
8.81	Mes
4.73	Mes
5.7	Mes
5.33	Mes
6.95	Mes
5.57	Mes
6.02	Mes
7.42	Mes
8.5	Mes
